property_name,propery_id,breadcrumbs,price,image_url,description,location,property_type,bathrooms,bedrooms
"Independent Villa in a gated community at West Hill, Kozhikode",1765789326,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill Chungam,Independent Villa in a gated community at West Hill, Kozhikode","{'amount': '32,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/isv873y4r8wh-IN/image,https://apollo.olx.in:443/v1/files/3xp38nm7alqc2-IN/image,https://apollo.olx.in:443/v1/files/yj67w6ka16cc2-IN/image,https://apollo.olx.in:443/v1/files/m2y0gjx92afu-IN/image,https://apollo.olx.in:443/v1/files/wztpsbxzsyou3-IN/image",Prime residential area in West Hill Chunkam. 100 mtrs from Kannur Main Road (Near Passport Office) . 3BR independent Villa with modern design inside a gated community. Round-the-clock Security. Gym & Indoor Badminton Court with lights. All Rooms fitted AC and well furnished kitchen. 4 bathrooms. Own well and Public water connection. Power back-up. Own car park.,"West Hill Chungam,Kozhikode,Kerala",Houses & Villas,4,3
2bhk semi furnished flat for rent at Calicut,1637175333,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2bhk semi furnished flat for rent at Calicut","{'amount': '25,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/4vpuaz0gx0wz-IN/image,https://apollo.olx.in:443/v1/files/u8fjhat3urwq3-IN/image,https://apollo.olx.in:443/v1/files/3xme8hn2h3oz1-IN/image,https://apollo.olx.in:443/v1/files/tnylzb17vhho-IN/image,https://apollo.olx.in:443/v1/files/ktfharngc6zd2-IN/image",2bhk semi furnished flat for rent at Calicut,"Thondayad,Kozhikode,Kerala",Apartments,3,3
Karaparamba House for rent contact owner directly Mr C K Suresh Babu,1766930175,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,Karaparamba House for rent contact owner directly Mr C K Suresh Babu","{'amount': '25,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/8aeb7l9ucg8a1-IN/image,https://apollo.olx.in:443/v1/files/y0b686fz2y3l1-IN/image,https://apollo.olx.in:443/v1/files/1biby0nrkrjk1-IN/image,https://apollo.olx.in:443/v1/files/ay3z58mmpizu-IN/image,https://apollo.olx.in:443/v1/files/bzrp6e3npesz-IN/image,https://apollo.olx.in:443/v1/files/8pzeaqltwrbs2-IN/image",Karaparamba House for rent contact owner directly Mr C K Suresh Babu,"Karaparamba,Kozhikode,Kerala",Houses & Villas,3,3
3BHK +Study  Semi Furnished Flat For Rent at  Calicut Beach (wd),1767426384,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,3BHK +Study  Semi Furnished Flat For Rent at  Calicut Beach (wd)","{'amount': '42,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/t50qyvlgosin2-IN/image,"Are you looking for a Flat ?

Here it is !

3Bhk  +Study Flat Available For Rent ,

1800sq.ft Semi Furnished Flat for Rent at Calicut  Beach

Total Rent 42,000/-

It hosts all the amenities and all the facilities

*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-

* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-

* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-

*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-

* kottuli ,2bhk , 1000sq.ft,semi , 23000/-

*calicut Beach , 3bhk, 1600sq.ft,26000/-

* YMC , 1bhk, 700sq.ft semi,25000/-

* methoott Thazham 2bhk 800sq.ft semi , 16500/-

*pottammal, 3bhk , furnshed,25000/-

* East Hill, 3Bhk, Semi Furbished,23000/-

""Note : Image shown are only for business purpose , actual building / Land may differ.""

For More details, Contact:

Big Deals Realtors

4th Floor , Hilite Business Park , Palazhy - Calicut -

About Us :

Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.

We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.

We Provide the following Specialised Features :

* Hassle free Documentation

* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property

* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","Calicut Beach,Kozhikode,Kerala",Apartments,3,3
2 bhk First Floor of a Apartment in Vellayil near Nadakkavu,1765430286,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Vellayil,2 bhk First Floor of a Apartment in Vellayil near Nadakkavu","{'amount': '13,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/ji0bi497amhc-IN/image,https://apollo.olx.in:443/v1/files/9wszkjzque69-IN/image","2 bedroom First floor of an apartment for rent in Vellayil near Nadakkavu.

Available to small families & executive bachelors.

Rent Rs 13000 per month & deposit Rs 50000.

Contact 9,4,4,7,DOUBLE1,4,4,7,1 for details and site visit.

SERVICE CHARGES AS APPLICABLE.","Vellayil,Kozhikode,Kerala",Apartments,2,2
LEASE (PANAYAM),1767416172,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Nadakkavu,LEASE (PANAYAM)","{'amount': '13,00,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/erby04lyr5cv3-IN/image,"Nadakkavu near girls school,","West Nadakkavu,Kozhikode,Kerala",Houses & Villas,2,2
3 BHK FURNISHED FLAT FOR RENT NEAR CALICUT MEDICAL COLLEGE,1762991431,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3 BHK FURNISHED FLAT FOR RENT NEAR CALICUT MEDICAL COLLEGE","{'amount': '30,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/0io3hvlmu3312-IN/image,https://apollo.olx.in:443/v1/files/yekkqb8sxf0j1-IN/image,https://apollo.olx.in:443/v1/files/eatnwlh3hl6c3-IN/image,https://apollo.olx.in:443/v1/files/1lqp5cpzvwtz-IN/image,https://apollo.olx.in:443/v1/files/8ikmiv8y5uxp2-IN/image,https://apollo.olx.in:443/v1/files/4ozjnf8ptpwn3-IN/image","3 bhk Furnished near calicut medical college

Aminites :-
Swaming pool
Gym
Childrens play area
Association hall
Guest room
Conference room
Opan area
Guest parking
Games area","Thondayad,Kozhikode,Kerala",Builder Floors,3,3
"2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK,CALICUT",1762990925,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK,CALICUT","{'amount': '29,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/mpvb8rpeeu1u1-IN/image,https://apollo.olx.in:443/v1/files/4x4mvh4rpkhs3-IN/image,https://apollo.olx.in:443/v1/files/4nsr84letd4b-IN/image,https://apollo.olx.in:443/v1/files/oj2b0aoht7ye-IN/image,https://apollo.olx.in:443/v1/files/riebdf40bcjd2-IN/image,https://apollo.olx.in:443/v1/files/t41yp4iiaax52-IN/image,https://apollo.olx.in:443/v1/files/xrwnv1691737-IN/image,https://apollo.olx.in:443/v1/files/tdfat4q37mcq2-IN/image,https://apollo.olx.in:443/v1/files/95ywtc1gpulu3-IN/image,https://apollo.olx.in:443/v1/files/nq4ej6hq24o43-IN/image","2 bhk Furnished
Aminites :-
Swaming pool
Gym
Club house
Association hall
Conference room
Tution center
Cimima theatre
Aster MIMS medical clinic
Supermarket
Beatty parlor
Landry
Tailor school
Ledies botique
Cafe
Saloon
Maintaince service
Deep cleaning service
Children play area
Garden
Food boll tuff
Opan area
Opan stage
Guest room
Guest parking
ATM
Grand lobby
Day care
Games room


Rent 26000+ mnc
Advance 3 month rent","Thondayad,Kozhikode,Kerala",Builder Floors,2,2
"3 BHK UNFURNISHED FLAR FOR RENT NEAR LULU MALL, CALICUT",1762872507,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,3 BHK UNFURNISHED FLAR FOR RENT NEAR LULU MALL, CALICUT","{'amount': '23,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/hncxs9q0qf5r1-IN/image,https://apollo.olx.in:443/v1/files/ppxz4x4awyw02-IN/image,https://apollo.olx.in:443/v1/files/65hp407qu39i-IN/image,https://apollo.olx.in:443/v1/files/13m0uy9xfuhf-IN/image,https://apollo.olx.in:443/v1/files/0p5klu9npsh13-IN/image","3 bhk unfurnished flat for rent near lulu mall, calicut","Mankavu,Kozhikode,Kerala",Builder Floors,3,3
"2 BHK FURNISHED FLAT FOR RENT NEAR CHEVAYOOR, CALICUT",1762872025,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,2 BHK FURNISHED FLAT FOR RENT NEAR CHEVAYOOR, CALICUT","{'amount': '25,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/m4629hmfuurz-IN/image,https://apollo.olx.in:443/v1/files/blnt8zf5elm81-IN/image,https://apollo.olx.in:443/v1/files/qesmvhc5sy583-IN/image","2 bhk Furnished flat for rent near chevayoor, calicut

Near by :-
Medical college
Devagri college and school
Presentation school
Bavans school
Starcare hospital
Cyber park
Ul park
Hilite mall
Business park","Chevayoor,Kozhikode,Kerala",Builder Floors,2,2
